Analizador Lexico
Autor: Ulises Angeles
Fecha: 23/02/2024 11:34:48 p. m.
{ = Inicio
# = Caracter
include = Identificador
"" = Cadena
++ = IncTermino
+ = OpTermino
-- = IncTermino
+= = IncTermino
-= = IncTermino
- = OpTermino
&& = OpLogico
& = Caracter
|| = OpLogico
| = Caracter
! = OpLogico
!= = OpRelacional
== = OpRelacional
* = OpFactor
*= = IncFactor
/ = OpFactor
/= = IncFactor
% = OpFactor
%= = IncFactor
? = OpTernario
=< = OpRelacional
< = OpRelacional
< = OpRelacional
> = OpRelacional
> = OpRelacional
>= = OpRelacional
"Hola mundo" = Cadena
1943225.10E80 = Numero
; = FinSentencia
1943225.10E+80 = Numero
; = FinSentencia
1943225.10E-80 = Numero
; = FinSentencia
} = Fin
